4760PMSAMANCHESTER, NH                                              07190332  
4800MSA MANSFIELD, OH                                                 176617  
4840MSA MAYAGUEZ, PR                                                  259188  
4880MSA MCALLEN-EDINBURG-MISSION, TX                                  534907  
4890MSA MEDFORD-ASHLAND, OR                                           175822  
4900MSA MELBOURNE-TITUSVILLE-PALM BAY, FL                             470365  
4920MSA MEMPHIS, TN-AR-MS                                             1105058 
4940MSA MERCED, CA                                                    200746  
4992CMSAMIAMI-FORT LAUDERDALE, FL                                   563711102 
5000PMSAMIAMI, FL                                                   562175634 
5015PMSAMIDDLESEX-SOMERSET-HUNTERDON, NJ                            701130592 
5080PMSAMILWAUKEE-WAUKESHA, WI                                      631462422 
5082CMSAMILWAUKEE-RACINE, WI                                        631648199 
5120MSA MINNEAPOLIS-SAINT PAUL, MN-WI                                 2872109 
5140MSA MISSOULA, MT                                                  89344   
5160MSA MOBILE, AL                                                    535472  
5170MSA MODESTO, CA                                                   436790  
5190PMSAMONMOUTH-OCEAN, NJ                                          701108977 
5200MSA MONROE, LA                                                    146672  
5240MSA MONTGOMERY, AL                                                322441  
5280MSA MUNCIE, IN                                                    115472  
5330MSA MYRTLE BEACH, SC                                              178550  
5345MSA NAPLES, FL                                                    207029  
5350PMSANASHUA, NH                                                  07184899  
5360MSA NASHVILLE, TN                                                 1171755 
5380PMSANASSAU-SUFFOLK, NY                                          702688904 
5400PMSANEW BEDFORD, MA                                             07176400  
5480PMSANEW HAVEN-MERIDEN, CT                                       70522279  
5483MSA NEW HAVEN-BRIDGEPORT-STAMFORD, CT                             1625513 
5520MSA NEW LONDON-NORWICH, CT-RI                                     284087  
5560MSA NEW ORLEANS, LA                                               1305479 
5600PMSANEW YORK, NY                                                708712600 
5602CMSANEW YORK-NORTHERN NEW JERSEY-LONG ISLAND, NY-NJ-CT-PA       7020196649
5640PMSANEWARK, NJ                                                  701954671 
5660PMSANEWBURGH, NY-PA                                             70375556  
5720MSA NORFOLK-VIRGINIA BEACH-NEWPORT NEWS, VA-NC                    1562635 
5775PMSAOAKLAND, CA                                                 842348723 
5790MSA OCALA, FL                                                     245975  
5800MSA ODESSA-MIDLAND, TX                                            242238  
5880MSA OKLAHOMA CITY, OK                                             1046283 
5910PMSAOLYMPIA, WA                                                 91205459  
5920MSA OMAHA, NE-IA                                                  698875  
5945PMSAORANGE COUNTY                                               492760948 
5960MSA ORLANDO, FL                                                   1535004 
5990MSA OWENSBORO, KY                                                 91179   
6015MSA PANAMA CITY, FL                                               147958  
6020MSA PARKERSBURG-MARIETTA, WV-OH                                   149366  
6080MSA PENSACOLA, FL                                                 403384  
6120MSA PEORIA-PEKIN, IL                                              346480  
6160PMSAPHILADELPHIA, PA-NJ                                         774949867 
6162CMSAPHILADELPHIA-WILMINGTON-ATLANTIC CITY, PA-NJ-DE-MD          775999034 
6200MSA PHOENIX-MESA, AZ                                              3013696 
6240MSA PINE BLUFF, AR                                                80785   
6280MSA PITTSBURGH, PA                                                2331336 
6320MSA PITTSFIELD, MA                                                83565   
6340MSA POCATELLO, ID                                                 74881   
6360MSA PONCE, PR                                                     371840  
6400MSA PORTLAND, ME                                                  234814  
6440PMSAPORTLAND-VANCOUVER, OR-WA                                   791845840 
6442CMSAPORTLAND-SALEM, OR-WA                                       792180996 
6450PMSAPORTSMOUTH-ROCHESTER, NH-ME                                 07239069  
6480MSA PROVIDENCE-FALL RIVER-WARWICK, RI-MA                          1125639 
6520MSA PROVO-OREM, UT                                                346997  
6560MSA PUEBLO, CO                                                    136987  
6580MSA PUNTA GORDA, FL                                               136992  
6600PMSARACINE, WI                                                  63185777  
6640MSA RALEIGH-DURHAM-CHAPEL HILL, NC                                1105535 
6660MSA RAPID CITY, SD                                                88117   
6680MSA READING, PA                                                   358211  
6690MSA REDDING, CA                                                   164530  
6720MSA RENO, NV                                                      319816  
6740MSA RICHLAND-KENNEWICK-PASCO, WA                                  184626  
6760MSA RICHMOND-PETERSBURG, VA                                       961416  
6780PMSARIVERSIDE-SAN BERNARDINO, CA                                493200587 
6800MSA ROANOKE, VA                                                   227741  
6820MSA ROCHESTER, MN                                                 119077  
6840MSA ROCHESTER, NY                                                 1079073 
6880MSA ROCKFORD, IL                                                  358640  
6895MSA ROCKY MOUNT, NC                                               147028  
6920PMSASACRAMENTO, CA                                              821585429 
6922CMSASACRAMENTO-YOLO, CA                                         821741002 
6960MSA SAGINAW-BAY CITY-MIDLAND, MI                                  400753  
6980MSA SAINT CLOUD, MN                                               164913  
7000MSA SAINT JOSEPH, MO                                              97220   
7040MSA SAINT LOUIS, MO-IL                                            2569029 
7080PMSASALEM, OR                                                   79335156  
7120MSA SALINAS, CA                                                   371756  
